,p,x,y,Pd,Pt,Ru
0,1,-22.5,-40.5,0.29584277821323085,0.506012225614968,0.1981449961718012
1,2,-18.0,-40.5,0.2956993818709607,0.4718951613037372,0.23240545682530203
2,3,-13.5,-40.5,0.29555598612647277,0.43777823921772935,0.26666577465579777
3,4,-9.0,-40.5,0.2954125909797634,0.403661459356055,0.3009259496641815
4,5,-4.5,-40.5,0.2952691964308289,0.36954482171782477,0.3351859818513463
5,6,0.0,-40.5,0.29512580247966547,0.3354283263021493,0.3694458712181853
6,7,4.5,-40.5,0.29498240912626933,0.30131197310813934,0.4037056177655914
7,8,9.0,-40.5,0.29483901637063675,0.2671957621349055,0.43796522149445777
8,9,13.5,-40.5,0.2946956242127641,0.23307969338155848,0.47222468240567744
9,10,18.0,-40.5,0.2945522326526475,0.198963766847209,0.5064840005001434
10,11,22.5,-40.5,0.29440884169028336,0.16484798253096777,0.5407431757787489
11,12,-27.0,-36.0,0.28147783036911334,0.5425018416645144,0.17602032796637218
12,13,-22.5,-36.0,0.28133446331002476,0.5083845445294708,0.21028099216050447
13,14,-18.0,-36.0,0.2811910968485991,0.47426738962127396,0.24454151353012693
14,15,-13.5,-36.0,0.2810477309848327,0.4401503769390347,0.2788018920761326
15,16,-9.0,-36.0,0.28090436571872174,0.4060335064818637,0.3130621277994146
16,17,-4.5,-36.0,0.2807610010502626,0.37191677824887154,0.347322220700866
17,18,0.0,-36.0,0.2806176369794514,0.3378001922391688,0.38158217078137985
18,19,4.5,-36.0,0.2804742735062845,0.3036837484518663,0.41584197804184925
19,20,9.0,-36.0,0.28033091063075816,0.2695674468860746,0.4501016424831673
20,21,13.5,-36.0,0.2801875483528686,0.23545128754090444,0.484361164106227
21,22,18.0,-36.0,0.2800441866726121,0.20133527041546653,0.5186205429119214
22,23,22.5,-36.0,0.2799008255899849,0.16721939550887152,0.5528797789011436
23,24,27.0,-36.0,0.27975746510498334,0.13310366282023015,0.5871388720747865
24,25,-31.5,-31.5,0.2671127505123438,0.5789917930505368,0.1538954564371194
25,26,-27.0,-31.5,0.2669694127369811,0.5448742630888415,0.18815632417417752
26,27,-22.5,-31.5,0.266826075559162,0.510756875355617,0.22241704908522092
27,28,-18.0,-31.5,0.2666827389788828,0.4766396298499744,0.25667763117114284
28,29,-13.5,-31.5,0.26653940299613976,0.44252252657102403,0.29093807043283626
29,30,-9.0,-31.5,0.26639606761092915,0.4084055655178766,0.3251983668711943
30,31,-4.5,-31.5,0.2662527328232472,0.3742887466896427,0.35945852048711013
31,32,0.0,-31.5,0.26610939863309013,0.3401720700854331,0.39371853128147677
32,33,4.5,-31.5,0.2659660650404544,0.30605553570435834,0.4279783992551873
33,34,9.0,-31.5,0.2658227320453361,0.2719391435455291,0.4622381244091348
34,35,13.5,-31.5,0.26567939964773146,0.23782289360805617,0.4964977067442123
35,36,18.0,-31.5,0.2655360678476369,0.20370678589105015,0.530757146261313
36,37,22.5,-31.5,0.2653927366450486,0.16959082039362172,0.5650164429613297
37,38,27.0,-31.5,0.2652494060399628,0.1354749971148816,0.5992755968451556
38,39,31.5,-31.5,0.2651060760323758,0.10135931605394051,0.6335346079136837
39,40,-36.0,-27.0,0.2527475386411026,0.6154820797776575,0.13177038158124005
40,41,-31.5,-27.0,0.25260423015001,0.5813643169864717,0.16603145286351836
41,42,-27.0,-27.0,0.2524609222563417,0.5472466964253812,0.2002923813182771
42,43,-22.5,-27.0,0.252317614960094,0.5131292180934964,0.23455316694640949
43,44,-18.0,-27.0,0.25217430826126314,0.4790118819899282,0.26881380974880864
44,45,-13.5,-27.0,0.2520310021598453,0.44489468811378696,0.3030743097263677
45,46,-9.0,-27.0,0.2518876966558369,0.4107776364641834,0.3373346668799797
46,47,-4.5,-27.0,0.2517443917492341,0.3766607270402282,0.3715948812105378
47,48,0.0,-27.0,0.25160108744003307,0.3425439598410319,0.405854952718935
48,49,4.5,-27.0,0.25145778372823024,0.3084273348657052,0.4401148814060645
49,50,9.0,-27.0,0.2513144806138219,0.27431085211335887,0.4743746672728193
50,51,13.5,-27.0,0.25117117809680417,0.2401945115831034,0.5086343103200925
51,52,18.0,-27.0,0.2510278761771733,0.20607831327404952,0.5428938105487771
52,53,22.5,-27.0,0.25088457485492577,0.17196225718530803,0.5771531679597663
53,54,27.0,-27.0,0.25074127413005765,0.13784634331598947,0.6114123825539529
54,55,31.5,-27.0,0.2505979740025652,0.10373057166520462,0.6456714543322302
55,56,36.0,-27.0,0.25045467447244474,0.06961494223206419,0.679930383295491
56,57,-40.5,-22.5,0.23838219475356975,0.6519727018504989,0.10964510339593135
57,58,-36.0,-22.5,0.23823891554729165,0.6178547062269842,0.14390637822572414
58,59,-31.5,-22.5,0.2380956369383185,0.5837368528351888,0.17816751022649263
59,60,-27.0,-22.5,0.2379523589266466,0.5496191416742235,0.21242849939912992
60,61,-22.5,-22.5,0.23780908151227215,0.5155015727431987,0.2466893457445291
61,62,-18.0,-22.5,0.23766580469519147,0.48138414604122515,0.28095004926358347
62,63,-13.5,-22.5,0.23752252847540078,0.4472668615674133,0.3152106099571859
63,64,-9.0,-22.5,0.23737925285289638,0.41314971932087396,0.3494710278262297
64,65,-4.5,-22.5,0.23723597782767453,0.37903271930071764,0.3837313028716079
65,66,0.0,-22.5,0.23709270339973149,0.34491586150605497,0.4179914350942135
66,67,4.5,-22.5,0.2369494295690635,0.3107991459359967,0.45225142449493977
67,68,9.0,-22.5,0.23680615633566687,0.27668257258965334,0.48651127107467973
68,69,13.5,-22.5,0.23666288369953786,0.2425661414661357,0.5207709748343264
69,70,18.0,-22.5,0.23651961166067273,0.2084498525645544,0.5550305357747728
70,71,22.5,-22.5,0.23637634021906773,0.1743337058840201,0.5892899538969122
71,72,27.0,-22.5,0.23623306937471913,0.14021770142364343,0.6235492292016375
72,73,31.5,-22.5,0.23608979912762318,0.10610183918253521,0.6578083616898416
