,p,x,y,Ag,Pd,Pt
61,62,-18.0,-22.5,0.14421875838180837,0.31052582826608516,0.5452554133521065
62,63,-13.5,-22.5,0.16234362463482066,0.3169368204061005,0.5207195549590788
63,64,-9.0,-22.5,0.1804687552680907,0.3233479060607234,0.4961833386711859
64,65,-4.5,-22.5,0.1985941502874031,0.3297590852319999,0.4716467644805969
65,66,0.0,-22.5,0.21671980969854274,0.3361703579219763,0.44710983237948093
66,67,4.5,-22.5,0.23484573350729462,0.3425817241326987,0.42257254236000674
67,68,9.0,-22.5,0.25297192171944377,0.34899318386621336,0.3980348944143428
68,69,13.5,-22.5,0.2710983743407757,0.35540473712456677,0.3734968885346575
69,70,18.0,-22.5,0.28922509137707586,0.3618163839098052,0.348958524713119
70,71,22.5,-22.5,0.30735207283412985,0.36822812422397505,0.32441980294189504
71,72,27.0,-22.5,0.3254793187177235,0.3746399580691231,0.2998807232131533
72,73,31.5,-22.5,0.34360682903364304,0.3810518854472958,0.27534128551906123
73,74,36.0,-22.5,0.36173460378767436,0.3874639063605397,0.2508014898517859
74,75,40.5,-22.5,0.37986264298560396,0.3938760208109016,0.2262613362034945
75,76,-40.5,-18.0,0.08140170251423945,0.2542354701694723,0.6643628273162883
76,77,-36.0,-18.0,0.09952588831300449,0.2606459731377529,0.6398281385492425
77,78,-31.5,-18.0,0.117650338478859,0.2670565696123588,0.6152930919087822
78,79,-27.0,-18.0,0.1357750530175872,0.27346725959533574,0.5907576873870771
79,80,-22.5,-18.0,0.1539000319349736,0.27987804308872977,0.5662219249762965
80,81,-18.0,-18.0,0.1720252752368028,0.2862889200945869,0.5416858046686103
81,82,-13.5,-18.0,0.19015078292885965,0.2926998906149532,0.5171493264561872
82,83,-9.0,-18.0,0.2082765550169291,0.2991109546518748,0.4926124903311961
83,84,-4.5,-18.0,0.2264025915067963,0.3055221122073979,0.46807529628580585
84,85,0.0,-18.0,0.2445288924042465,0.31193336328356874,0.4435377443121846
85,86,4.5,-18.0,0.2626554577150653,0.3183447078824337,0.41899983440250094
86,87,9.0,-18.0,0.2807822874450383,0.3247561460060391,0.39446156654892256
87,88,13.5,-18.0,0.2989093815999513,0.3311676776564314,0.36992294074361737
88,89,18.0,-18.0,0.31703674018559025,0.33757930283565707,0.3453839569787527
89,90,22.5,-18.0,0.3351643632077413,0.34399102154576267,0.32084461524649593
90,91,27.0,-18.0,0.353292250672191,0.3504028337887948,0.2963049155390142
91,92,31.5,-18.0,0.3714204025847255,0.35681473956680027,0.27176485784847426
92,93,36.0,-18.0,0.3895488189511317,0.36322673888182566,0.24722444216704273
93,94,40.5,-18.0,0.40767749977719625,0.36963883173591777,0.22268366848688592
94,95,-45.0,-13.5,0.09108179527976157,0.22358710923070987,0.6853310954895285
95,96,-40.5,-13.5,0.10920635810260233,0.22999749705377495,0.6607961448436226
96,97,-36.0,-13.5,0.12733118530250176,0.2364079783830666,0.6362608363144316
97,98,-31.5,-13.5,0.1454562768852444,0.24281855322063073,0.611725169894125
98,99,-27.0,-13.5,0.16358163285661506,0.24922922156851324,0.5871891455748716
